PhraseId	SentenceId	Phrase	Sentiment
2	1	A series of escapades demonstrating the adage that what is good for the goose	2
6	1	of escapades demonstrating the adage that what is good for the goose	2
8	1	escapades demonstrating the adage that what is good for the goose	2
10	1	demonstrating the adage that what is good for the goose	2
16	1	that what is good for the goose	2
39	1	some of which occasionally amuses but none of which amounts to much of a story	2
44	1	occasionally amuses but none of which amounts to much of a story	2
46	1	amuses but none of which amounts to much of a story	2
48	1	but none of which amounts to much of a story	1
50	1	none of which amounts to much of a story	1
52	1	of which amounts to much of a story	2
53	1	which amounts to much of a story	2
64	2	This quiet , introspective and entertaining independent is worth seeking .	4
65	2	This quiet , introspective and entertaining independent	3
67	2	quiet , introspective and entertaining independent	4
68	2	quiet , introspective and entertaining	3
70	2	, introspective and entertaining	3
71	2	introspective and entertaining	3
83	3	Even fans of Ismail Merchant 's work	2
95	3	, I suspect , would have a hard time sitting through this one .	1
101	3	would have a hard time sitting through this one .	1
102	3	would have a hard time sitting through this one	0
104	3	have a hard time sitting through this one	0
106	3	a hard time sitting through this one	1
120	4	A positively thrilling combination	3
121	4	positively thrilling combination	3
126	4	of ethnography and all the intrigue , betrayal , deceit and murder	2
127	4	ethnography and all the intrigue , betrayal , deceit and murder	2
130	4	all the intrigue , betrayal , deceit and murder	2
132	4	the intrigue , betrayal , deceit and murder	1
133	4	intrigue , betrayal , deceit and murder	2
135	4	, betrayal , deceit and murder	2
143	4	of a Shakespearean tragedy or a juicy soap opera	2
144	4	a Shakespearean tragedy or a juicy soap opera	2
157	5	Aggressive self-glorification and a manipulative whitewash .	1
158	5	Aggressive self-glorification and a manipulative whitewash	0
160	5	self-glorification and a manipulative whitewash	0
168	6	A comedy-drama of nearly epic proportions	3
178	6	rooted in a sincere performance by the title character undergoing midlife crisis	3
179	6	rooted in a sincere performance	3
187	6	by the title character undergoing midlife crisis	2
189	6	the title character undergoing midlife crisis	2
199	7	Narratively , Trouble Every Day is a plodding mess .	1
201	7	, Trouble Every Day is a plodding mess .	1
202	7	Trouble Every Day is a plodding mess .	0
223	8	so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	2
225	8	thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3
